Date,Swap Value,Swaption Value
20110701,0.434596,26.8148
20110702,0.429324,26.8118
20110703,0.424051,26.8099
20110704,-0.147617,26.3631
20110705,-0.0644253,26.8107
20110706,-0.118176,26.7714
20110707,0.305155,27.0083
20110708,-1.17445,26.4134
20110709,-1.18069,26.4098
20110710,-1.18689,26.4076
20110711,-3.99378,25.4738
20110712,-5.27984,25.0507
20110713,-5.04655,25.2085
20110714,-3.17676,26.3483
20110715,-4.56479,25.8242
20110716,-4.57274,25.8198
20110717,-4.57969,25.8173
20110718,-4.10347,26.7867
20110719,-5.69337,26.7891
20110720,-4.0962,26.0591
20110721,-2.22959,26.6075
20110722,-3.48895,26.1686
20110723,-3.49719,26.164
20110724,-3.50543,26.1604
20110725,-2.5137,26.4247
20110726,-3.36555,26.1789
20110727,-3.1272,26.3058
20110728,-3.4522,26.0411
20110729,-6.50692,25.1624
20110730,-6.51412,25.1608
20110731,-6.52133,25.1576
20110801,-7.8818,24.5583
20110802,-13.3375,22.3681
20110803,-13.3592,22.4821
20110804,-19.2059,19.8349
20110805,-15.0651,21.2712
20110806,-15.0732,21.2666
20110807,-15.0812,21.2629
20110808,-22.7357,19.1329
20110809,-23.296,17.8663
20110810,-27.7985,16.6972
20110811,-19.4665,19.4141
20110812,-22.0454,18.8812
20110813,-22.058,18.8752
20110814,-22.0706,18.87
20110815,-21.0259,18.7689
20110816,-24.8037,17.431
20110817,-28.4815,16.1646
20110818,-33.115,15.0304
20110819,-34.4642,14.4435
20110820,-34.4748,14.4383
20110821,-34.4855,14.4339
20110822,-32.3794,15.4239
20110823,-30.4413,15.9119
20110824,-23.6031,17.9825
20110825,-25.3186,17.4111
20110826,-26.8744,17.0606
20110827,-26.8857,17.0554
20110828,-26.897,17.0506
20110829,-25.0403,17.4191
20110830,-27.7152,16.525
20110831,-24.7254,17.6215
20110901,-28.2021,16.3752
20110902,-34.9602,14.2273
20110903,-34.9697,14.2225
20110904,-34.9791,14.2183
20110905,-34.7347,14.6175
20110906,-34.6969,14.8932
20110907,-32.4967,15.3919
20110908,-35.2896,14.473
20110909,-36.1288,14.2961
20110910,-36.1409,14.2908
20110911,-36.153,14.2857
20110912,-36.4758,14.1974
20110913,-35.1795,14.3907
20110914,-35.4276,14.5837
20110915,-32.624,15.1828
20110916,-33.8339,14.9206
20110917,-33.8454,14.9153
20110918,-33.8569,14.9103
20110919,-33.8683,15.8315
20110920,-37.3308,14.1845
20110921,-41.5892,13.0953
20110922,-50.2348,11.1495
20110923,-46.6342,11.5976
20110924,-46.6451,11.5935
20110925,-46.6561,11.5889
20110926,-43.0895,12.4981
20110927,-40.6464,13.1299
20110928,-40.5833,12.996
20110929,-40.8696,12.779
20110930,-45.0144,11.4194
20111001,-45.0231,11.416
20111002,-45.0319,11.4118
20111003,-53.3822,8.96772
20111004,-48.3855,10.8412
20111005,-46.0818,11.319
20111006,-42.9581,12.0502
20111007,-41.0973,12.3537
20111008,-41.105,12.3504
20111009,-41.1128,12.3464
20111010,-41.9086,12.01
20111011,-39.011,12.8151
20111012,-36.1985,13.8838
20111013,-35.9447,14.0728
20111014,-32.6699,14.8247
20111015,-32.6754,14.822
20111016,-32.6808,14.8185
20111017,-36.213,14.0794
20111018,-34.3244,14.9279
20111019,-34.9787,14.6348
20111020,-34.1287,14.5673
20111021,-31.9087,15.2552
20111022,-31.9165,15.2522
20111023,-31.9242,15.248
20111024,-31.9305,15.2384
20111025,-35.9977,13.9201
20111026,-32.7535,14.9807
20111027,-25.8046,17.1106
20111028,-29.043,15.9219
20111029,-29.0503,15.9188
20111030,-29.0575,15.915
20111031,-35.6566,14.2704
20111101,-41.1499,13.4423
20111102,-40.4944,13.3475
20111103,-36.3942,14.2715
20111104,-37.7583,14.0701
20111105,-37.7692,14.0662
20111106,-37.7801,14.061
20111107,-38.4298,14.115
20111108,-36.9879,14.2635
20111109,-41.4635,13.0185
20111110,-38.9621,13.6763
20111111,-39.2492,13.4893
20111112,-39.2608,13.4865
20111113,-39.2723,13.4816
20111114,-38.9264,13.7885
20111115,-40.472,12.5756
20111116,-40.931,13.0395
20111117,-43.9403,12.2703
20111118,-43.4085,12.4294
20111119,-43.4173,12.4265
20111120,-43.4262,12.4218
20111121,-45.788,11.9735
20111122,-47.3409,11.432
20111123,-48.8201,11.0475
20111124,-48.3919,11.3319
20111125,-46.1316,11.9896
20111126,-46.1406,11.9865
20111127,-46.1496,11.9815
20111128,-45.8662,11.7062
20111129,-44.8829,12.1194
20111130,-41.2601,12.9361
20111201,-40.4291,12.8062
20111202,-41.8288,12.47
20111203,-41.8364,12.4672
20111204,-41.8441,12.4629
20111205,-42.8497,12.1806
20111206,-40.4924,12.6895
20111207,-42.4119,12.2791
20111208,-44.3737,11.7664
20111209,-40.3065,13.2823
20111210,-40.3164,13.279
20111211,-40.3264,13.274
20111212,-42.3215,12.5452
20111213,-44.6956,11.8354
20111214,-48.5939,10.8112
20111215,-47.4016,10.8126
20111216,-50.3387,9.58568
20111217,-50.3426,9.5831
20111218,-50.3465,9.5795
20111219,-47.4736,11.7345
20111220,-47.4811,10.6179
20111221,-45.4912,11.3972
20111222,-46.4475,11.0662
20111223,-43.3745,12.1208
20111224,-43.386,12.1202
20111225,-43.3974,12.1119
20111226,-43.3719,11.8888
20111227,-44.6874,11.7498
20111228,-48.3647,10.9011
20111229,-48.6386,10.7097
20111230,-49.0989,10.5986
20111231,-49.1086,10.5954
