Swaption Type,MC IV,MC Price,Real IV,Real Price,Error of IV,Error of Price,Relative Error of IV,Relative Error of Price
1x1,0.974348,0.00376721,1.1499,0.00285088,-0.175552,0.00091633,-0.152667188,0.321420053
1x2,0.620377,0.00741097,0.726947,0.0071807,-0.10657,0.00023027,-0.146599408,0.032067904
1x3,0.44509,0.0104562,0.540885,0.0117902,-0.095795,-0.001334,-0.177107888,-0.113144815
1x4,0.356209,0.0134232,0.439657,0.0160847,-0.083448,-0.0026615,-0.189802505,-0.165467805
1x5,0.303013,0.0160652,0.378882,0.0205215,-0.075869,-0.0044563,-0.200244403,-0.217152742
1x6,0.266577,0.0183261,0.339931,0.0242382,-0.073354,-0.0059121,-0.215790852,-0.243916627
1x7,0.251831,0.0212312,0.313522,0.0277664,-0.061691,-0.0065352,-0.196767691,-0.235363605
1x8,0.234798,0.0233662,0.294273,0.0313854,-0.059475,-0.0080192,-0.202108246,-0.255507338
1x9,0.227361,0.0259666,0.279632,0.0347818,-0.052271,-0.0088152,-0.186927819,-0.253442893
1x10,0.211756,0.02719,0.268112,0.0373625,-0.056356,-0.0101725,-0.210195739,-0.272264972
2x1,0.491688,0.00551537,0.544053,0.00609135,-0.052365,-0.00057598,-0.096249814,-0.094557036
2x2,0.400976,0.0109729,0.435353,0.0122265,-0.034377,-0.0012536,-0.078963508,-0.102531387
2x3,0.33058,0.0156079,0.368863,0.0180937,-0.038283,-0.0024858,-0.103786501,-0.137384836
2x4,0.285867,0.0197247,0.327623,0.0237302,-0.041756,-0.0040055,-0.127451369,-0.168793352
2x5,0.261203,0.0238084,0.300354,0.0292183,-0.039151,-0.0054099,-0.130349521,-0.185154509
2x6,0.245425,0.0277407,0.281565,0.0342085,-0.03614,-0.0064678,-0.128354021,-0.189069968
2x7,0.236537,0.0318014,0.267714,0.0387541,-0.031177,-0.0069527,-0.116456368,-0.179405534
2x8,0.224756,0.034878,0.256848,0.0435465,-0.032092,-0.0086685,-0.124945493,-0.199063071
2x9,0.211981,0.0371181,0.248262,0.0477106,-0.036281,-0.0105925,-0.146139965,-0.222015653
2x10,0.205183,0.0398543,0.241193,0.0512022,-0.03601,-0.0113479,-0.149299524,-0.221629149
3x1,0.345004,0.00678017,0.367526,0.00746862,-0.022522,-0.00068845,-0.061280018,-0.09217901
3x2,0.295127,0.0129407,0.32118,0.0147136,-0.026053,-0.0017729,-0.081116508,-0.120493965
3x3,0.265474,0.0186973,0.291909,0.0215594,-0.026435,-0.0028621,-0.090559044,-0.132754158
3x4,0.254378,0.0247872,0.272283,0.0281802,-0.017905,-0.003393,-0.065758788,-0.120403688
3x5,0.238175,0.0295822,0.258653,0.0344865,-0.020478,-0.0049043,-0.079171709,-0.14220927
3x6,0.233045,0.0350402,0.24847,0.0403342,-0.015425,-0.005294,-0.062079929,-0.131253378
3x7,0.227538,0.0399704,0.240322,0.0455374,-0.012784,-0.005567,-0.053195296,-0.122251161
3x8,0.205178,0.0410647,0.233798,0.0514418,-0.02862,-0.0103771,-0.122413365,-0.201725056
3x9,0.206644,0.0461779,0.228354,0.0561405,-0.02171,-0.0099626,-0.095071687,-0.177458341
3x10,0.202601,0.0494911,0.225227,0.0596603,-0.022626,-0.0101692,-0.100458648,-0.170451707
4x1,0.280108,0.0077829,0.288447,0.00825427,-0.008339,-0.00047137,-0.02890999,-0.057106201
4x2,0.256805,0.0149878,0.26725,0.0161976,-0.010445,-0.0012098,-0.039083255,-0.074690078
4x3,0.240152,0.0214997,0.252844,0.0237006,-0.012692,-0.0022009,-0.050196959,-0.092862628
4x4,0.234154,0.0281666,0.242786,0.0308957,-0.008632,-0.0027291,-0.035553945,-0.088332681
4x5,0.219558,0.0330521,0.235143,0.0375476,-0.015585,-0.0044955,-0.066278818,-0.119728025
4x6,0.218052,0.0391788,0.228864,0.0438268,-0.010812,-0.004648,-0.04724203,-0.10605383
4x7,0.212475,0.0441313,0.223761,0.0494566,-0.011286,-0.0053253,-0.050437744,-0.107676225
4x8,0.205035,0.0481239,0.219435,0.0555751,-0.0144,-0.0074512,-0.065623077,-0.134074433
4x9,0.202015,0.0522604,0.21727,0.0605927,-0.015255,-0.0083323,-0.070212178,-0.137513265
4x10,0.204288,0.057743,0.214169,0.0645528,-0.009881,-0.0068098,-0.046136462,-0.105491938
5x1,0.24906,0.00848395,0.251282,0.00873365,-0.002222,-0.0002497,-0.008842655,-0.028590566
5x2,0.236578,0.0162752,0.240274,0.0172867,-0.003696,-0.0010115,-0.015382438,-0.058513192
5x3,0.22989,0.0237089,0.232584,0.0252788,-0.002694,-0.0015699,-0.011582912,-0.062103423
5x4,0.222893,0.0304917,0.226585,0.0323953,-0.003692,-0.0019036,-0.016294106,-0.05876161
5x5,0.220587,0.0373502,0.221527,0.039399,-0.00094,-0.0020488,-0.004243275,-0.05200132
5x6,0.217277,0.043577,0.217319,0.0457703,-4.2E-05,-0.0021933,-0.000193264,-0.047919721
5x7,0.206188,0.0475849,0.213705,0.0516081,-0.007517,-0.0040232,-0.035174657,-0.077956755
5x8,0.205127,0.0528243,0.212231,0.05757,-0.007104,-0.0047457,-0.033472961,-0.082433559
5x9,0.206233,0.0586282,0.20957,0.0628982,-0.003337,-0.00427,-0.015923081,-0.067887475
5x10,0.201993,0.0628558,0.206142,0.0674185,-0.004149,-0.0045627,-0.020126903,-0.06767727
6x1,0.234576,0.00892234,0.232575,0.00906681,0.002001,-0.00014447,0.008603676,-0.015933939
6x2,0.231029,0.0174754,0.226458,0.0176923,0.004571,-0.0002169,0.020184758,-0.012259571
6x3,0.231656,0.0260241,0.221487,0.0257525,0.010169,0.0002716,0.045912401,0.010546549
6x4,0.222571,0.0329763,0.217114,0.0332803,0.005457,-0.000304,0.025134261,-0.009134533
6x5,0.217903,0.0397103,0.213445,0.0404123,0.004458,-0.000702,0.020885943,-0.017370949
6x6,0.209983,0.0451377,0.210254,0.0469782,-0.000271,-0.0018405,-0.001288917,-0.039177746
6x7,0.209218,0.0511221,0.209315,0.0524448,-9.7E-05,-0.0013227,-0.000463416,-0.025220804
6x8,0.20773,0.0568522,0.206921,0.0584199,0.000809,-0.0015677,0.003909705,-0.026835034
6x9,0.205238,0.0621914,0.203613,0.0643385,0.001625,-0.0021471,0.007980826,-0.033371931
6x10,0.207217,0.067491,0.204766,0.0681746,0.002451,-0.0006836,0.011969761,-0.010027195
7x1,0.231341,0.00936957,0.222969,0.00911907,0.008372,0.0002505,0.037547821,0.027469906
7x2,0.225943,0.0180995,0.218525,0.0178912,0.007418,0.0002083,0.033945773,0.011642595
7x3,0.227777,0.0269555,0.214471,0.025733,0.013306,0.0012225,0.062041022,0.047507092
7x4,0.224545,0.0348728,0.211091,0.0330051,0.013454,0.0018677,0.063735545,0.056588224
7x5,0.21533,0.0410342,0.208151,0.0396446,0.007179,0.0013896,0.034489385,0.035051432
7x6,0.211596,0.0470198,0.207712,0.0462306,0.003884,0.0007892,0.018698968,0.017070944
7x7,0.21059,0.0534497,0.205471,0.0518079,0.005119,0.0016418,0.024913491,0.031690148
7x8,0.207596,0.0592603,0.202119,0.0586858,0.005477,0.0005745,0.027097898,0.009789421
7x9,0.207083,0.0641661,0.203688,0.063532,0.003395,0.0006341,0.016667649,0.009980797
7x10,0.21346,0.0713195,0.20393,0.0671602,0.00953,0.0041593,0.046731722,0.061931025
8x1,0.242506,0.010211,0.216565,0.00896582,0.025941,0.00124518,0.119783899,0.138880772
8x2,0.22851,0.0189654,0.212614,0.0175986,0.015896,0.0013668,0.074764597,0.077665269
8x3,0.23079,0.0281796,0.209473,0.0254135,0.021317,0.0027661,0.101764905,0.108843725
8x4,0.226566,0.0362153,0.206702,0.0325878,0.019864,0.0036275,0.096099699,0.111314664
8x5,0.214591,0.0415638,0.206846,0.0391456,0.007745,0.0024182,0.037443315,0.061774503
8x6,0.213787,0.0486093,0.20468,0.0456616,0.009107,0.0029477,0.044493844,0.064555338
8x7,0.217917,0.0568503,0.201168,0.0517781,0.016749,0.0050722,0.083258769,0.097960335
8x8,0.216522,0.0621222,0.2033,0.0569628,0.013222,0.0051594,0.065036891,0.090574902
8x9,0.214339,0.0671304,0.203708,0.0620135,0.010631,0.0051169,0.052187445,0.082512679
8x10,0.214758,0.0728223,0.202898,0.0669306,0.01186,0.0058917,0.058453016,0.088027001
9x1,0.234747,0.0101268,0.211024,0.0089101,0.023723,0.0012167,0.112418493,0.136552901
9x2,0.232035,0.0196236,0.208194,0.0172089,0.023841,0.0024147,0.114513387,0.140316929
9x3,0.223213,0.0278102,0.205603,0.0249857,0.01761,0.0028245,0.085650501,0.113044662
9x4,0.22928,0.0366658,0.206541,0.0316251,0.022739,0.0050407,0.110094364,0.159389219
9x5,0.22188,0.0434238,0.204377,0.0381801,0.017503,0.0052437,0.085640752,0.13734118
9x6,0.215129,0.0498143,0.20062,0.0448233,0.014509,0.004991,0.072320806,0.111348339
9x7,0.222228,0.0575052,0.203364,0.0495471,0.018864,0.0079581,0.09275978,0.160616868
9x8,0.224307,0.0642349,0.204067,0.0547086,0.02024,0.0095263,0.099183111,0.174128016
9x9,0.221662,0.0695799,0.203293,0.0600524,0.018369,0.0095275,0.090357268,0.15865311
9x10,0.218967,0.0747674,0.201402,0.0654123,0.017565,0.0093551,0.087213632,0.143017445
10x1,0.242099,0.0105238,0.207621,0.00862071,0.034478,0.00190309,0.1660622,0.220757919
10x2,0.239881,0.0204665,0.205133,0.0165514,0.034748,0.0039151,0.16939254,0.236541924
10x3,0.240324,0.0294447,0.207198,0.0235578,0.033126,0.0058869,0.159876061,0.249891756
10x4,0.241512,0.0385925,0.204771,0.0304306,0.036741,0.0081619,0.179424821,0.268213574
10x5,0.225406,0.0445641,0.200604,0.0371584,0.024802,0.0074057,0.123636617,0.199300831
10x6,0.235248,0.0532066,0.204104,0.0423978,0.031144,0.0108088,0.152588876,0.254937756
10x7,0.225063,0.0575559,0.205068,0.0475217,0.019995,0.0100342,0.097504242,0.211149854
10x8,0.226774,0.0645062,0.204262,0.0533693,0.022512,0.0111369,0.110211395,0.208676149
10x9,0.225312,0.0705985,0.20219,0.0587923,0.023122,0.0118062,0.114357782,0.200812011
10x10,0.217619,0.0745786,0.199251,0.0633873,0.018368,0.0111913,0.092185234,0.176554294
