1x1,0.00458809,1.21168
1x2,0.00898693,0.758218
1x3,0.0131414,0.562136
1x4,0.0170481,0.453898
1x5,0.0206282,0.390054
1x6,0.023938,0.348945
1x7,0.0270049,0.320841
1x8,0.029843,0.30032
1x9,0.0324537,0.284509
1x10,0.0348746,0.271933
2x1,0.00631881,0.567004
2x2,0.0123176,0.451725
2x3,0.0179554,0.381443
2x4,0.0232111,0.337286
2x5,0.0280411,0.308323
2x6,0.0325126,0.288187
2x7,0.0366689,0.273163
2x8,0.0404977,0.261355
2x9,0.0440341,0.251864
2x10,0.0473171,0.243955
3x1,0.00747229,0.381469
3x2,0.014526,0.332237
3x3,0.0211229,0.300653
3x4,0.0271992,0.279596
3x5,0.0328332,0.264788
3x6,0.0380767,0.253554
3x7,0.042913,0.244533
3x8,0.0473845,0.23717
3x9,0.0515394,0.23094
3x10,0.0554145,0.227145
4x1,0.00827953,0.298505
4x2,0.0160461,0.275383
4x3,0.0232145,0.259724
4x4,0.0298697,0.248597
4x5,0.0360706,0.23998
4x6,0.0417955,0.232871
4x7,0.0470926,0.226969
4x8,0.0520181,0.221888
4x9,0.0566043,0.219065
4x10,0.0608212,0.215342
5x1,0.0088184,0.259144
5x2,0.0169728,0.246971
5x3,0.0245524,0.238259
5x4,0.0316213,0.231332
5x5,0.0381528,0.225426
5x6,0.0441996,0.220442
5x7,0.0498252,0.21608
5x8,0.0550546,0.213949
5x9,0.0598717,0.210686
5x10,0.0642657,0.206602
6x1,0.00908764,0.239048
6x2,0.0175427,0.231942
6x3,0.0254126,0.22607
6x4,0.0327278,0.220852
6x5,0.0394476,0.216426
6x6,0.0456703,0.212516
6x7,0.051525,0.210903
6x8,0.0568964,0.207894
6x9,0.0618081,0.203946
6x10,0.066629,0.204514
7x1,0.0092562,0.228454
7x2,0.0178792,0.223111
7x3,0.0258574,0.21823
7x4,0.0332903,0.214069
7x5,0.040117,0.210386
7x6,0.0465136,0.209256
7x7,0.0524077,0.206378
7x8,0.0578064,0.202376
7x9,0.0630437,0.203369
7x10,0.0679074,0.202989
8x1,0.00934371,0.221188
8x2,0.0179943,0.216426
8x3,0.0260145,0.212487
8x4,0.0334847,0.208951
8x5,0.0403964,0.20838
8x6,0.0467929,0.205562
8x7,0.0526618,0.201399
8x8,0.0583197,0.202884
8x9,0.0635943,0.202722
8x10,0.0684018,0.201348
9x1,0.00930077,0.214888
9x2,0.0179278,0.21126
9x3,0.0259665,0.207901
9x4,0.0333938,0.208101
9x5,0.0402774,0.20526
9x6,0.0466047,0.200822
9x7,0.0526671,0.202911
9x8,0.0583256,0.202983
9x9,0.0634895,0.201623
9x10,0.0682267,0.199199
10x1,0.0092156,0.210767
10x2,0.0178064,0.207458
10x3,0.0257333,0.208811
10x4,0.0330906,0.205722
10x5,0.0398652,0.200768
10x6,0.046318,0.203625
10x7,0.0523482,0.203935
10x8,0.0578581,0.202532
10x9,0.0629205,0.199916
10x10,0.0675556,0.196413
